99Liu_Si [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Fe [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Si [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Fe [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Si [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Si [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Si [wt%]LIQUID+AL13FE4+FCC_A1,99Liu_Fe [wt%] LIQUID+AL13FE4+FCC_A1,NucleoScheil_Si [wt%],NucleoScheil_Fe [wt%],Scheil1_Si [wt%],Scheil1_Fe [wt%]
,,,,,,,,,,,,,,6.756423077,1.697192716,6.955989247,1.974038792
,,,,,,,,,,,,,,6.830654298,1.718001209,6.955741866,1.971144006
,,,,,,,,,,,,,,6.844880747,1.721990227,6.955494705,1.968252402
,,,,,,,,,,,,,,6.859103713,1.725979146,6.955247763,1.965363979
,,,,,,,,,,,,,,6.873322975,1.729968529,6.955124381,1.96392096
,,,,,,,,,,,,,,6.887538726,1.733957837,6.95463065,1.9622806
,,,,,,,,,,,,,,6.901750969,1.737947059,6.953553784,1.958703267
,,,,,,,,,,,,,,6.9159597,1.741936187,6.95247831,1.955130987
,,,,,,,,,,,,,,6.93016115,1.745924749,6.951404215,1.95156371
,,,,,,,,,,,,,,6.94436264,1.749914155,6.950331494,1.94800143
,,,,,,,,,,,,,,6.958560596,1.753903494,6.949260153,1.944444151
,,,,,,,,,,,,,,6.972754837,1.757893249,6.948190183,1.940891848
,,,,,,,,,,,,,,6.986945556,1.76188288,6.947121588,1.937344538
,,,,,,,,,,,,,,7.001132726,1.765872447,6.946054366,1.933802209
,,,,,,,,,,,,,,7.015316377,1.769861862,6.944988518,1.930264864
,,,,,,,,,,,,,,7.029496303,1.773851673,6.943924038,1.926732483
,,,,,,,,,,,,,,7.043672674,1.777841405,6.942860931,1.923205076
,,,,,,,,,,,,,,7.057845491,1.78183104,6.941799194,1.919682635
,,,,,,,,,,,,,,7.072014582,1.785821045,6.940738825,1.916165158
,,,,,,,,,,,,,,7.021917314,1.618630464,6.939679823,1.912652638
,,,,,,,,,,,,,,7.15123832,1.651979555,6.938622189,1.909145072
,,,,,,,,,,,,,,7.165475845,1.655651825,6.937565922,1.905642457
,,,,,,,,,,,,,,7.179709508,1.659324605,6.936511019,1.902144789
,,,,,,,,,,,,,,7.193939535,1.66299725,6.935457482,1.898652063
,,,,,,,,,,,,,,7.208165926,1.666669748,6.93440531,1.895164283
,,,,,,,,,,,,,,7.22238868,1.670342093,6.9333545,1.89168143
,,,,,,,,,,,,,,7.236607566,1.674014932,6.932305049,1.888203503
,,,,,,,,,,,,,,7.250822812,1.677687603,6.931256962,1.884730508
,,,,,,,,,,,,,,7.265034391,1.681360178,6.930210235,1.881262436
,,,,,,,,,,,,,,7.27924233,1.685032566,6.929164868,1.877799283
,,,,,,,,,,,,,,7.2934466,1.688704845,6.928120859,1.874341045
,,,,,,,,,,,,,,7.307646994,1.692377586,6.927078208,1.870887719
,,,,,,,,,,,,,,7.321843743,1.696050128,6.926036913,1.867439299
,,,,,,,,,,,,,,7.336036819,1.699722543,6.924996975,1.863995782
,,,,,,,,,,,,,,7.350226222,1.703394816,6.923958392,1.860557164
,,,,,,,,,,,,,,7.364411744,1.707067533,6.922921162,1.857123442
,,,,,,,,,,,,,,7.318590258,1.549608822,6.921885285,1.853694611
,,,,,,,,,,,,,,7.439707055,1.578337228,6.920850762,1.850270667
,,,,,,,,,,,,,,7.453948699,1.581716283,6.91981759,1.846851606
,,,,,,,,,,,,,,7.468186545,1.585095317,6.918785769,1.843437425
,,,,,,,,,,,,,,7.482420646,1.588474172,6.917755297,1.84002812
,,,,,,,,,,,,,,7.496650998,1.591852848,6.916726175,1.836623685
,,,,,,,,,,,,,,7.510877577,1.595231411,6.9156984,1.833224119
,,,,,,,,,,,,,,7.525100199,1.598610397,6.914671974,1.82982942
,,,,,,,,,,,,,,7.539319042,1.601989265,6.913646893,1.826439576
,,,,,,,,,,,,,,7.553534111,1.605367999,6.912623157,1.823054589
,,,,,,,,,,,,,,7.56774543,1.608746519,6.911600767,1.819674452
,,,,,,,,,,,,,,7.581952969,1.612124901,6.910579719,1.816299159
,,,,,,,,,,,,,,7.596156519,1.615503758,6.909560015,1.812928713
